Test 1- 13/10/21,,Test 2 - 13/10/21,,Test 3 - 13/10/21,,Test 4 - 13/10/21,,Test 1 - 09/11/21,,Test 2 - 09/11/21,
Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm]
0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.002,10.000,0.097,0.000,0.000
0.500,0.004,0.400,0.002,0.200,0.001,0.300,0.003,10.100,0.098,-0.100,0.000
1.000,0.006,0.400,0.004,0.600,0.002,0.200,0.003,10.200,0.097,0.500,0.001
1.000,0.009,0.600,0.006,0.600,0.003,0.400,0.005,10.400,0.098,0.600,0.001
1.400,0.012,0.200,0.007,0.700,0.004,0.200,0.005,10.300,0.098,0.600,0.001
2.400,0.013,0.000,0.007,1.000,0.004,0.400,0.005,10.300,0.098,0.500,0.002
2.800,0.015,0.400,0.007,1.200,0.005,0.800,0.005,10.200,0.097,0.700,0.002
3.300,0.017,0.700,0.009,1.300,0.006,0.700,0.007,10.400,0.097,0.900,0.003
3.400,0.019,1.100,0.008,1.300,0.006,0.600,0.007,10.800,0.098,1.200,0.003
3.800,0.020,1.700,0.008,1.300,0.007,0.600,0.007,10.900,0.098,1.300,0.004
3.700,0.022,1.700,0.010,1.600,0.008,0.200,0.008,10.600,0.098,1.300,0.004
3.800,0.023,1.900,0.011,1.800,0.008,0.100,0.008,10.700,0.098,1.200,0.004
4.000,0.024,2.200,0.011,1.900,0.008,0.100,0.008,10.700,0.099,1.300,0.004
4.400,0.026,2.200,0.011,2.200,0.009,0.100,0.009,10.800,0.098,1.200,0.004
4.600,0.027,2.100,0.012,2.400,0.009,0.200,0.009,10.700,0.098,1.200,0.005
4.800,0.028,2.300,0.012,2.400,0.009,0.200,0.010,10.600,0.098,1.200,0.005
5.000,0.028,2.700,0.012,2.400,0.010,0.600,0.010,10.700,0.098,1.300,0.005
5.200,0.029,2.400,0.013,2.400,0.010,0.600,0.010,10.700,0.098,1.300,0.004
5.600,0.030,2.300,0.013,2.400,0.011,0.600,0.010,10.700,0.098,1.800,0.005
5.700,0.029,2.200,0.013,2.500,0.011,0.700,0.011,10.800,0.097,1.700,0.006
5.600,0.031,2.500,0.014,2.300,0.011,0.800,0.010,10.700,0.098,1.700,0.005
5.700,0.031,2.500,0.014,2.400,0.011,0.600,0.011,10.700,0.098,1.700,0.006
5.700,0.032,2.500,0.013,2.500,0.011,0.700,0.011,10.700,0.098,1.800,0.006
5.700,0.032,2.300,0.014,2.400,0.011,0.700,0.012,10.800,0.098,1.800,0.007
5.700,0.032,2.200,0.013,2.600,0.011,0.700,0.012,10.700,0.098,1.800,0.006
5.700,0.033,2.700,0.014,2.500,0.012,0.700,0.012,10.800,0.098,1.800,0.007
5.800,0.034,2.700,0.014,2.700,0.011,0.700,0.012,10.500,0.098,1.800,0.006
5.900,0.034,2.800,0.015,2.800,0.012,0.700,0.012,10.800,0.097,1.700,0.007
5.800,0.034,2.800,0.015,2.900,0.012,0.600,0.012,10.800,0.097,1.600,0.006
5.800,0.034,2.700,0.015,2.900,0.013,0.600,0.013,10.700,0.098,1.600,0.006
5.700,0.035,2.700,0.014,2.900,0.012,0.600,0.013,10.800,0.098,1.800,0.007
5.800,0.035,2.800,0.014,2.900,0.013,0.700,0.013,10.600,0.097,1.700,0.007
5.700,0.035,2.900,0.015,3.000,0.014,0.600,0.012,10.800,0.098,1.800,0.007
