Height [mm],Pressure [Atm]
0,0
0.1,0.00055
0.3,0.00114
0.7,0.0022
0.7,0.00302
0.6,0.00411
0.8,0.0046
0.8,0.00553
0.8,0.00613
0.4,0.0072
0.5,0.00809
0.5,0.00873
0.4,0.00981
0.6,0.01004
0.6,0.01099
0.6,0.01155
0.8,0.01147
0.8,0.0126
0.6,0.01141
0.7,0.01278
0.7,0.01282
0.8,0.01417
1.3,0.01437
1.3,0.01491
1,0.01508
1,0.01539
0.8,0.01593
1.2,0.01523
0.9,0.01626
1.1,0.01641
1.2,0.01588
0.8,0.01662
0.7,0.01661
0.7,0.01556
0.5,0.01599
0.5,0.01638
0.2,0.01638
0.4,0.01551
0.2,0.01622
0.3,0.01659
0.2,0.01581
0.1,0.01648
0.4,0.01569
0.3,0.01518
0.2,0.01612
0.5,0.0167
0.5,0.01615
0.6,0.016
0.6,0.01605
0.8,0.01674
0.8,0.01619
0.7,0.0167
0.7,0.01676
0.8,0.01721
0.7,0.01684
0.8,0.01703
0.8,0.01695
0.8,0.01711
0.6,0.01756
0.8,0.01676
0.8,0.01716
0.6,0.01655
1,0.01664
1.1,0.01658
0.8,0.01785
1,0.01788
0.9,0.01744
1.1,0.01672
0.8,0.0171
1.1,0.01701
1.1,0.01738
1,0.01734
1.1,0.0172
0.9,0.01679
0.8,0.01672
0.9,0.01644
0.7,0.01777
0.8,0.01676
0.8,0.01769
0.7,0.01811
0.9,0.01716
0.7,0.01717
0.7,0.01738
1,0.0164
0.9,0.01676
1.4,0.01699
1.1,0.01682
0.7,0.01703
0.9,0.01631
1.3,0.01664
1.3,0.01716
1.1,0.01709
1.3,0.01736
1.4,0.0169
1.4,0.0167
1.4,0.01731
1.2,0.01727
1.4,0.01672
1.3,0.01717
1.3,0.01706
1.4,0.01661
1.3,0.01629
1.3,0.01674
1.4,0.01695
1.3,0.01651
1.3,0.0166
1.3,0.01726
1.4,0.01681
1.4,0.01659
1.5,0.01754
1.4,0.01659
1.3,0.01741
1.4,0.01701
1.4,0.01691
1.4,0.01737
1.4,0.01719
1.3,0.01718
1.4,0.0169
1.3,0.01722
1.4,0.01653
1.3,0.01712
1.3,0.01721
1.3,0.01722
1.3,0.01673
1.2,0.01726
0.9,0.01678
0.7,0.01732
0.8,0.01719
0.8,0.01646
0.8,0.01718
0.9,0.01657
0.8,0.01725
0.8,0.01695
0.7,0.01713
0.7,0.0175
0.8,0.01725
0.7,0.01755
0.8,0.01714
0.4,0.01684
0.7,0.01706
0.6,0.01661
0.8,0.0174
0.7,0.01726
0.6,0.01656
0.7,0.01707
0.7,0.01683
0.8,0.01697
0.7,0.01649
0.7,0.01964
1.5,0.03855
2.2,0.06141
2.6,0.07341
2.4,0.07664
2.8,0.07824
3.2,0.07734
3,0.07814
3,0.07914
3,0.08014
3.1,0.07984
3.1,0.08064
2.9,0.08164
2.6,0.08244
2.5,0.08314
2.4,0.08464
2.4,0.08504
2.4,0.08614
2.5,0.08694
2.3,0.08784
2.6,0.08854
2.8,0.08834
2.7,0.08924
2.9,0.08964
3.2,0.08954
3.1,0.08954
3.1,0.09014
3,0.09024
2.8,0.09004
3,0.08994
3.1,0.09064
3,0.09004
3,0.09124
3.2,0.09014
3.1,0.09084
3,0.09104
3.1,0.09174
3,0.09134
3,0.09164
3,0.09174
3.1,0.09124
3.1,0.09254
3.1,0.09264
3,0.09254
3,0.09294
3,0.09304
3.2,0.09224
2.9,0.09214
3,0.09244
2.9,0.09264
3,0.09174
3,0.09174
3.2,0.09104
3,0.09244
2.9,0.09164
2.9,0.09174
3,0.09104
2.9,0.09224
3,0.09184
3.1,0.09104
3.2,0.09204
3.1,0.09164
3.5,0.09204
3.5,0.09164
3.5,0.09244
3.8,0.09174
3.7,0.09114
3.7,0.09164
3.5,0.09124
3.7,0.09234
3.6,0.09094
4.1,0.09194
4.3,0.09194
4.1,0.09104
4.1,0.09184
4,0.09154
3.8,0.09164
3.6,0.09124
3.7,0.09244
3.6,0.09154
3.6,0.09174
3.6,0.09244
3.7,0.09164
3.6,0.09214
3.6,0.09184
4.1,0.09194
3.7,0.09194
3.8,0.09154
3.6,0.09204
3.9,0.09154
4.1,0.09214
4.1,0.09164
4,0.09234
3.7,0.09214
3.8,0.09204
3.9,0.09224
4.3,0.09244
4.1,0.09214
4,0.09294
4,0.09294
4,0.09194
4.2,0.09274
4.2,0.09294
4.2,0.09254
4.1,0.09264
4,0.09294
4.2,0.09244
3.8,0.09264
3.9,0.09264
4,0.09284
3.6,0.09274
3.7,0.09334
3.6,0.09254
3.6,0.09254
3.7,0.09294
3.7,0.09214
3.7,0.09374
3.5,0.09224
3.6,0.09214
3.6,0.09314
3.6,0.09274
3.7,0.09294
3.7,0.09254
3.5,0.09294
3.7,0.09284
3.6,0.09394
3.7,0.09234
3.7,0.09304
